kb_id,topic,content,embedding_ready,chunk_type,language,last_updated
K8001,flight_booking,"CarTrawler allows you to search and book flights across all major Indian airlines including IndiGo, Air India, SpiceJet, Vistara, and GoAir. You can search by IATA airport codes (e.g., BOM for Mumbai, DEL for Delhi) or by city name. Flights are available in Economy and Business class. Prices shown are per person including taxes.",false,faq,en,2026-01-15
K8002,flight_booking,"To book a flight, you must be logged in to your CarTrawler account. You need to provide: your access token (from login), the flight ID, travel date (YYYY-MM-DD format), cabin class (Economy or Business), and preferred payment method (CARD/UPI/WALLET/NET_BANKING). A booking confirmation with booking ID is sent immediately upon payment.",false,faq,en,2026-01-15
K8003,flight_booking,Flight check-in opens 48 hours before departure and closes 60 minutes before departure for domestic flights. You can check in online through the respective airline's website or app using the booking reference number. Web check-in is available for all airlines partnered with CarTrawler.,false,faq,en,2026-01-15
K8004,flight_booking,Baggage allowance varies by airline and cabin class. Economy class typically allows 15-20 kg checked baggage and 7 kg cabin baggage. Business class allows 25-30 kg checked baggage. Excess baggage charges apply beyond the allowance. Infants (under 2 years) get 10 kg allowance.,false,faq,en,2026-01-15
K8005,cancellation,CarTrawler's flight cancellation policy: Cancellations made 2 or more hours before departure are eligible for a full refund on refundable tickets. Non-refundable tickets receive a credit note (valid 90 days) instead of cash refund. Cancellations within 2 hours of departure receive no refund. Refunds are processed within 5-7 business days.,false,faq,en,2026-01-15
K8006,cancellation,Car rental cancellations are free if done 24 hours before the pickup time. Cancellations within 24 hours attract a 1-hour rental charge as cancellation fee. No-shows (failure to cancel and not picking up the car) result in full rental charge. Refunds for eligible cancellations are processed within 3-5 business days.,false,faq,en,2026-01-15
K8007,car_rental,"CarTrawler car rental policy: Minimum age to rent a car is 21 years for standard vehicles (Sedan, Hatchback, Compact, MUV). For Premium, Luxury, and SUV categories, the minimum age is 25 years. A valid driving license (minimum 1 year old) is mandatory. International driving permits are accepted for foreign nationals.",false,faq,en,2026-01-15
K8008,car_rental,"Security deposit for car rentals: A refundable security deposit is collected at the time of vehicle pickup. The amount varies by car category: Economy/Compact: Rs 5,000; Sedan: Rs 8,000; SUV: Rs 15,000; Luxury: Rs 25,000. Deposit is refunded within 48 hours after vehicle return, subject to inspection.",false,faq,en,2026-01-15
K8009,car_rental,"Fuel policy: All CarTrawler rental cars are provided with a full tank of fuel. You must return the vehicle with a full tank. If returned with less fuel, the difference will be charged at market rates plus a Rs 200 service fee. Electric vehicles must be returned with at least 80% charge.",false,faq,en,2026-01-15
K8010,car_rental,"Car rental insurance: Basic third-party insurance is included in all rental rates. Comprehensive insurance (CDW - Collision Damage Waiver) is optional and costs Rs 200-500/day depending on car category. Without CDW, you are liable for damage up to the security deposit amount. We recommend CDW for peace of mind.",false,faq,en,2026-01-15
K8011,car_rental,"Available car types on CarTrawler: Hatchback (5 seats, budget-friendly, ideal for city), Sedan (5 seats, comfortable for airport transfers), Compact (5 seats, fuel-efficient), SUV (7 seats, ideal for families and highways), MUV (7 seats, good for groups), Luxury (5 seats, premium experience). All cars have AC.",false,faq,en,2026-01-15
K8012,loyalty,CarTrawler Loyalty Program: Earn 1 loyalty point for every Rs 100 spent on bookings. Points are credited to your account within 24 hours of a confirmed booking. Points can be redeemed at checkout (100 points = Rs 100 discount). Points expire after 12 months of account inactivity.,false,faq,en,2026-01-15
K8013,loyalty,"Loyalty tier benefits: BRONZE (0-999 points): Standard rates, basic support. SILVER (1000-2499 points): 5% discount on all bookings, priority customer support. GOLD (2500-4999 points): 10% discount, free seat selection, dedicated support line. PLATINUM (5000+ points): 15% discount, free upgrades when available, personal travel concierge.",false,faq,en,2026-01-15
K8014,loyalty,How to earn more loyalty points: Regular bookings earn standard points. Double points on birthdays. Triple points on annual travel anniversaries. Combo bookings (flight + car) earn 25% bonus points. Refer a friend: earn 500 points when they complete their first booking.,false,faq,en,2026-01-15
K8015,payment,"Accepted payment methods on CarTrawler: Credit/Debit Card (Visa, Mastercard, RuPay, Amex), UPI (GPay, PhonePe, Paytm, BHIM), Net Banking (all major Indian banks), Digital Wallets (Paytm, Amazon Pay, MobiKwik). EMI options available for bookings above Rs 10,000 on select credit cards.",false,faq,en,2026-01-15
K8016,payment,"Payment security: All transactions on CarTrawler are secured by 256-bit SSL encryption. We are PCI-DSS compliant. OTP verification is required for all card transactions. CarTrawler never stores full card details. In case of payment failure, amount is automatically refunded within 24 hours.",false,faq,en,2026-01-15
K8017,offers,"CarTrawler discount coupons: WELCOME10 (10% off, max Rs 500, first booking), FLYHI15 (15% off flights above Rs 5000), CAR10 (10% off car rentals), WEEKEND15 (15% off weekend travel), GOA20 (20% off Goa bookings), LUXURY20 (20% off luxury cars), SAVE200 (Rs 200 flat off), FIRST300 (Rs 300 off first flight). Check app for latest offers.",false,faq,en,2026-01-15
K8018,offers,How to apply coupon codes: Enter the coupon code at the payment/checkout page before completing the booking. Only one coupon can be applied per booking. Coupons have minimum booking amounts and validity dates. The discount is shown before final payment confirmation. Loyalty tier discounts are applied automatically.,false,faq,en,2026-01-15
K8019,airport_info,"Major Indian airports served by CarTrawler: BOM/CSIA (Mumbai - Chhatrapati Shivaji), DEL/IGI (Delhi - Indira Gandhi), BLR/KIA (Bangalore - Kempegowda), MAA/CSIA (Chennai - Chennai International), HYD/RGIA (Hyderabad - Rajiv Gandhi), CCU/NSCBI (Kolkata - Netaji Subhas Chandra Bose), PNQ (Pune), GOI (Goa - Dabolim), JAI (Jaipur), AMD (Ahmedabad).",false,faq,en,2026-01-15
K8020,airport_info,"Airport car rental pickup: For airport pickups, proceed to the Arrivals exit and look for the CarTrawler service desk. For pre-booked cars, proceed directly to the rental company counter in the terminal. Please carry your booking confirmation, driving license, and government-issued ID. Pickup is typically 15-20 minutes after landing.",false,faq,en,2026-01-15
K8021,support,"CarTrawler customer support: 24/7 helpline: 1800-CARTRAWLER (toll-free). WhatsApp support: +91-9000-TRAVEL. Email: support@cartrawler.in. Response time: Phone (immediate), WhatsApp (< 5 mins), Email (< 4 hours). For urgent booking changes or cancellations, please call the helpline directly.",false,faq,en,2026-01-15
K8022,support,Booking modification policy: Flight date changes allowed up to 4 hours before departure (airline change fees + fare difference apply). Seat upgrades can be done up to 24 hours before departure. Car rental extension must be requested 2 hours before return time (subject to availability). Name changes are not allowed after booking.,false,faq,en,2026-01-15
K8023,hotel,"CarTrawler Hotel Search: Find hotels at your flight destination. Search by city, area/locality, star rating, and price per night. Hotels range from budget stays to 5-star luxury. All hotels are verified partners with guaranteed room availability. Free cancellation available on most hotel bookings up to 24 hours before check-in.",false,faq,en,2026-01-15
K8024,hotel,"Hotel check-in/check-out times: Standard check-in is 2:00 PM and check-out is 12:00 PM (noon). Early check-in (before 10 AM) and late check-out (after 6 PM) may incur additional charges. Express check-in is available for pre-booked guests. Most hotels accept major credit cards, UPI, and cash.",false,faq,en,2026-01-15
K8025,travel_tips,"Travel tips from CarTrawler: Book flights at least 3-4 weeks in advance for best prices. Tuesday and Wednesday typically offer cheapest airfares. Carry digital copies of all travel documents. For car rentals, inspect the vehicle thoroughly and report any pre-existing damage before driving. Download airline apps for real-time flight updates.",false,faq,en,2026-01-15
K8026,flight_booking,"Popular flight routes on CarTrawler: Mumbai-Delhi (most booked, 2h 15m), Delhi-Bangalore (2h 45m), Mumbai-Goa (1h 5m), Delhi-Kolkata (2h 20m), Hyderabad-Mumbai (1h 50m). All routes have multiple daily departures. IndiGo has the most flights on domestic routes. Air India offers full-service experience.",false,faq,en,2026-01-15
